iso3,cv_code,espeak_code,english_name
afr,af,af,Afrikaans
bul,bg,bg,Bulgarian
cat,ca,ca,Catalan
ces,cs,cs,Czech
cym,cy,cy,Welsh
dan,da,da,Danish
deu,de,de,German
ell,el,el,Greek
eng,en,en,English
eng,en,en-gb,English
eng,en,en-sc,English
eng,en,en-uk-north,English
eng,en,en-uk-wmids,English
eng,en,en-us,English
eng,en,en-wi,English
epo,eo,eo,Esperanto
est,et,et,Estonian
fas,fa,fa,Persian
fas,fa,fa-pin,Persian
fin,fi,fi,Finnish
fra,fr,fr-be,French
fra,fr,fr-fr,French
gle,ga-IE,ga,Irish
hin,hi,hi,Hindi
hun,hu,hu,Hungarian
hye,hy-AM,hy,Armenian
hye,hy-AM,hy-west,Armenian
ind,id,id,Indonesian
isl,is,is,Icelandic
ita,it,it,Italian
kat,ka,ka,Georgian
lav,lv,lv,Latvian
lit,lt,lt,Lithuanian
mal,ml,ml,Malayalam
mkd,mk,mk,Macedonian
nep,ne-NP,ne,Nepali
nld,nl,nl,Dutch
pan,pa-IN,pa,Punjabi
pol,pl,pl,Polish
por,pt,pt-br,Portuguese
por,pt,pt-pt,Portuguese
ron,ro,ro,Romanian
rus,ru,ru,Russian
slk,sk,sk,Slovak
spa,es,es,Spanish
spa,es,es-la,Spanish
sqi,sq,sq,Albanian
srp,sr,sr,Serbian
swa,sw,sw,Swahili
swe,sv-SE,sv,Swedish
tam,ta,ta,Tamil
tur,tr,tr,Turkish
vie,vi,vi,Vietnamese
vie,vi,vi-hue,Vietnamese
vie,vi,vi-sgn,Vietnamese
yue,yue,zh-yue,Cantonese
zho,zh-TW,zh,Chinese
zho,zh-CN,zh,Chinese
zho,zh-HK,zh,Chinese
